%
Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus II License Agreement,
the Altera MegaCore Function License Agreement, or other 
applicable license agreement, including, without limitation, 
that your use is for the sole purpose of programming logic 
devices manufactured by Altera and sold by Altera or its 
authorized distributors.  Please refer to the applicable 
agreement for further details.
%

GROUP CREATE div_centr:inst9|quotient[39..0] = div_centr:inst9|quotient[39] div_centr:inst9|quotient[38] div_centr:inst9|quotient[37] div_centr:inst9|quotient[36] div_centr:inst9|quotient[35] div_centr:inst9|quotient[34] div_centr:inst9|quotient[33] div_centr:inst9|quotient[32] div_centr:inst9|quotient[31] div_centr:inst9|quotient[30] div_centr:inst9|quotient[29] div_centr:inst9|quotient[28] div_centr:inst9|quotient[27] div_centr:inst9|quotient[26] div_centr:inst9|quotient[25] div_centr:inst9|quotient[24] div_centr:inst9|quotient[23] div_centr:inst9|quotient[22] div_centr:inst9|quotient[21] div_centr:inst9|quotient[20] div_centr:inst9|quotient[19] div_centr:inst9|quotient[18] div_centr:inst9|quotient[17] div_centr:inst9|quotient[16] div_centr:inst9|quotient[15] div_centr:inst9|quotient[14] div_centr:inst9|quotient[13] div_centr:inst9|quotient[12] div_centr:inst9|quotient[11] div_centr:inst9|quotient[10] div_centr:inst9|quotient[9] div_centr:inst9|quotient[8] div_centr:inst9|quotient[7] div_centr:inst9|quotient[6] div_centr:inst9|quotient[5] div_centr:inst9|quotient[4] div_centr:inst9|quotient[3] div_centr:inst9|quotient[2] div_centr:inst9|quotient[1] div_centr:inst9|quotient[0] ;
INPUTS div_centr:inst9|clock;
OUTPUTS div_centr:inst9|quotient[39..0];
UNIT ns;
RADIX HEX;
PATTERN
 168500000000.0> 1 = XXXXXXXXXX 
 169000000000.0> 0 = XXXXXXXXXX 
 169500000000.0> 1 = XXXXXXXXXX 
 170000000000.0> 0 = XXXXXXXXXX 
 170500000000.0> 1 = XXXXXXXXXX 
 171000000000.0> 0 = XXXXXXXXXX 
 171500000000.0> 1 = XXXXXXXXXX 
 172000000000.0> 0 = XXXXXXXXXX 
 172500000000.0> 1 = XXXXXXXXXX 
 173000000000.0> 0 = XXXXXXXXXX 
 173500000000.0> 1 = XXXXXXXXXX 
 174000000000.0> 0 = XXXXXXXXXX 
 174500000000.0> 1 = XXXXXXXXXX 
 175000000000.0> 0 = XXXXXXXXXX 
 175500000000.0> 1 = XXXXXXXXXX 
 176000000000.0> 0 = XXXXXXXXXX 
 176500000000.0> 1 = XXXXXXXXXX 
 177000000000.0> 0 = XXXXXXXXXX 
 177500000000.0> 1 = XXXXXXXXXX 
 178000000000.0> 0 = XXXXXXXXXX 
 178500000000.0> 1 = XXXXXXXXXX 
 179000000000.0> 0 = XXXXXXXXXX 
 179500000000.0> 1 = XXXXXXXXXX 
 180000000000.0> 0 = XXXXXXXXXX 
 180500000000.0> 1 = XXXXXXXXXX 
 181000000000.0> 0 = XXXXXXXXXX 
 181500000000.0> 1 = XXXXXXXXXX 
 182000000000.0> 0 = XXXXXXXXXX 
 182500000000.0> 1 = XXXXXXXXXX 
 183000000000.0> 0 = XXXXXXXXXX 
 183500000000.0> 1 = XXXXXXXXXX 
 184000000000.0> 0 = XXXXXXXXXX 
 184500000000.0> 1 = XXXXXXXXXX 
 185000000000.0> 0 = XXXXXXXXXX 
 185500000000.0> 1 = XXXXXXXXXX 
 186000000000.0> 0 = XXXXXXXXXX 
 186500000000.0> 1 = XXXXXXXXXX 
 187000000000.0> 0 = XXXXXXXXXX 
 187500000000.0> 1 = XXXXXXXXXX 
 188000000000.0> 0 = XXXXXXXXXX 
 188500000000.0> 1 = XXXXXXXXXX 
 189000000000.0> 0 = XXXXXXXXXX 
 189500000000.0> 1 = XXXXXXXXXX 
 190000000000.0> 0 = XXXXXXXXXX 
 190500000000.0> 1 = XXXXXXXXXX 
 191000000000.0> 0 = XXXXXXXXXX 
 191500000000.0> 1 = XXXXXXXXXX 
 192000000000.0> 0 = XXXXXXXXXX 
 192500000000.0> 1 = XXXXXXXXXX 
 193000000000.0> 0 = XXXXXXXXXX 
 193500000000.0> 1 = XXXXXXXXXX 
 194000000000.0> 0 = XXXXXXXXXX 
 194500000000.0> 1 = XXXXXXXXXX 
 195000000000.0> 0 = XXXXXXXXXX 
 195500000000.0> 1 = XXXXXXXXXX 
 196000000000.0> 0 = XXXXXXXXXX 
 196500000000.0> 1 = XXXXXXXXXX 
 197000000000.0> 0 = XXXXXXXXXX 
 197500000000.0> 1 = XXXXXXXXXX 
 198000000000.0> 0 = XXXXXXXXXX 
 198500000000.0> 1 = XXXXXXXXXX 
 199000000000.0> 0 = XXXXXXXXXX 
 199500000000.0> 1 = XXXXXXXXXX 
 200000000000.0> 0 = XXXXXXXXXX 
 200500000000.0> 1 = XXXXXXXXXX 
 201000000000.0> 0 = XXXXXXXXXX 
 201500000000.0> 1 = XXXXXXXXXX 
 202000000000.0> 0 = XXXXXXXXXX 
 202500000000.0> 1 = XXXXXXXXXX 
 203000000000.0> 0 = XXXXXXXXXX 
 203500000000.0> 1 = XXXXXXXXXX 
 204000000000.0> 0 = XXXXXXXXXX 
 204500000000.0> 1 = XXXXXXXXXX 
 205000000000.0> 0 = XXXXXXXXXX 
 205500000000.0> 1 = XXXXXXXXXX 
 206000000000.0> 0 = XXXXXXXXXX 
 206500000000.0> 1 = XXXXXXXXXX 
 207000000000.0> 0 = XXXXXXXXXX 
 207500000000.0> 1 = XXXXXXXXXX 
 208000000000.0> 0 = XXXXXXXXXX 
 208500000000.0> 1 = XXXXXXXXXX 
 209000000000.0> 0 = XXXXXXXXXX 
 209500000000.0> 1 = XXXXXXXXXX 
 210000000000.0> 0 = XXXXXXXXXX 
 210500000000.0> 1 = XXXXXXXXXX 
 211000000000.0> 0 = XXXXXXXXXX 
 211500000000.0> 1 = XXXXXXXXXX 
 212000000000.0> 0 = XXXXXXXXXX 
 212500000000.0> 1 = XXXXXXXXXX 
 213000000000.0> 0 = XXXXXXXXXX 
 213500000000.0> 1 = XXXXXXXXXX 
 214000000000.0> 0 = XXXXXXXXXX 
 214500000000.0> 1 = XXXXXXXXXX 
